                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1184,                0.90374,                  1.216,                0.83978,                  0.837,                0.89453,                0.61421,                 1.1091,                0.77792,                 1.1674,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1127,                0.89621,                 1.2097,                0.87024,                0.80176,                 0.8903,                0.61233,                 1.1199,                0.78805,                 1.1791,               0.001307,               0.001307,               0.001307
                     37,                  1.104,                0.89156,                 1.2118,                0.84792,                 0.8326,                0.90186,                 0.6229,                 1.0826,                0.75739,                 1.1589,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1052,                0.89647,                 1.2088,                0.85966,                0.82755,                0.89813,                0.61034,                 1.1074,                0.76819,                 1.1786,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0939,                 0.8855,                 1.2005,                0.86292,                0.80885,                0.89633,                0.62109,                 1.0963,                0.75125,                 1.1743,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1131,                0.88906,                 1.2094,                0.86625,                0.82085,                0.90091,                0.62095,                 1.0951,                0.76069,                  1.178,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0923,                0.86624,                 1.2008,                0.88805,                0.82232,                0.90643,                0.62751,                 1.0875,                0.73425,                 1.1615,               0.001208,               0.001208,               0.001208
                     42,                 1.0917,                0.87656,                 1.2058,                0.88463,                0.79378,                0.90085,                 0.6153,                 1.1392,                0.76395,                 1.2025,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0945,                0.86235,                 1.2024,                0.88298,                0.82305,                0.90238,                 0.6234,                  1.092,                0.73298,                 1.1633,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0917,                0.86818,                 1.1992,                 0.8878,                 0.8069,                0.89718,                0.62308,                 1.0839,                0.74311,                 1.1623,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0721,                 0.8473,                 1.1905,                 0.8943,                0.80131,                 0.8993,                0.62338,                 1.0875,                0.74299,                 1.1595,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0779,                0.84718,                 1.1922,                0.85305,                0.82893,                0.89535,                0.62086,                 1.0873,                0.76094,                 1.1638,               0.001109,               0.001109,               0.001109
                     47,                 1.0676,                0.84687,                 1.1857,                0.85615,                 0.8304,                0.90119,                0.62912,                  1.092,                0.74099,                 1.1677,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0738,                0.83824,                  1.189,                0.88294,                0.83333,                0.90767,                0.63104,                 1.0739,                0.72501,                 1.1516,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0615,                0.82583,                 1.1773,                0.87475,                0.82893,                0.90226,                0.62251,                 1.0867,                0.73271,                 1.1591,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0439,                 0.8116,                  1.177,                0.86561,                0.84177,                  0.908,                0.63283,                  1.082,                0.73709,                 1.1623,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0668,                0.82967,                 1.1828,                0.87201,                 0.8304,                0.90322,                0.63005,                  1.084,                0.72249,                  1.161,                0.00101,                0.00101,                0.00101
                     52,                 1.0535,                0.82176,                 1.1808,                0.90008,                0.82452,                0.90742,                0.63352,                  1.074,                0.70295,                 1.1607,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0502,                0.81608,                 1.1801,                0.87606,                0.83037,                0.90569,                0.62785,                 1.0949,                0.71725,                 1.1656,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0367,                0.80861,                 1.1691,                0.85768,                0.82526,                0.89645,                0.62867,                 1.0891,                0.73127,                 1.1585,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.032,                0.79384,                  1.162,                0.88194,                0.82817,                0.90556,                0.63489,                 1.0839,                0.70427,                 1.1571,              0.0009308,              0.0009308,              0.0009308
                     56,                   1.04,                0.80375,                 1.1696,                0.87409,                0.83595,                0.90744,                0.63317,                 1.0795,                0.70146,                 1.1422,               0.000911,               0.000911,               0.000911
                     57,                 1.0419,                0.79934,                  1.171,                0.86885,                0.83659,                0.91049,                0.63494,                 1.0705,                0.70489,                 1.1432,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0254,                0.77704,                 1.1572,                0.88414,                 0.8292,                 0.9065,                0.64132,                 1.0671,                0.69129,                 1.1513,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0355,                0.77964,                 1.1631,                0.90491,                 0.8069,                0.91118,                0.63881,                 1.0756,                0.68514,                 1.1484,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0319,                0.78992,                 1.1611,                0.85976,                0.83724,                0.90694,                0.63691,                 1.0758,                0.70315,                 1.1474,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0258,                0.77335,                 1.1539,                0.87911,                0.83994,                0.91079,                0.63938,                 1.0668,                0.68648,                 1.1365,               0.000812,               0.000812,               0.000812
                     62,                 1.0283,                0.78081,                 1.1557,                0.89212,                 0.8318,                0.91549,                0.64344,                 1.0614,                0.68443,                 1.1372,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0126,                0.76816,                 1.1495,                0.88461,                0.82966,                0.91458,                0.64398,                 1.0557,                 0.6848,                 1.1345,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0079,                0.75702,                 1.1513,                0.86909,                0.83994,                0.91322,                0.64174,                 1.0709,                0.68021,                 1.1431,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0035,                0.76508,                 1.1459,                0.86899,                0.84802,                0.90975,                0.64648,                 1.0504,                0.67625,                 1.1263,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0027,                0.75505,                 1.1437,                0.88376,                0.84853,                0.91393,                0.64553,                 1.0674,                0.66362,                 1.1422,               0.000713,               0.000713,               0.000713
                     67,                 1.0012,                0.75693,                 1.1481,                0.86854,                0.84404,                0.90886,                0.64201,                 1.0745,                0.68671,                 1.1422,              0.0006932,              0.0006932,              0.0006932
                     68,                0.99613,                0.74971,                 1.1439,                0.85868,                0.85212,                0.91388,                 0.6468,                 1.0597,                0.67881,                 1.1332,              0.0006734,              0.0006734,              0.0006734
                     69,                0.98962,                0.73991,                 1.1384,                0.88003,                0.85242,                0.91373,                0.64279,                 1.0592,                0.66757,                 1.1364,              0.0006536,              0.0006536,              0.0006536
                     70,                0.99514,                0.73935,                 1.1424,                 0.8805,                0.84435,                0.91633,                0.64683,                 1.0599,                0.67142,                 1.1385,              0.0006338,              0.0006338,              0.0006338
                     71,                0.98674,                0.72927,                 1.1376,                0.89635,                0.84447,                0.91465,                0.65536,                 1.0498,                0.66717,                 1.1309,               0.000614,               0.000614,               0.000614
                     72,                0.99102,                0.73537,                 1.1389,                0.90014,                0.83386,                0.91623,                0.64508,                 1.0628,                0.66693,                 1.1297,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.9811,                 0.7276,                 1.1319,                0.88793,                0.84929,                0.91592,                 0.6488,                 1.0482,                0.66716,                 1.1289,              0.0005744,              0.0005744,              0.0005744
                     74,                0.98566,                 0.7341,                 1.1316,                0.91077,                0.83113,                0.91787,                0.64955,                 1.0504,                0.65499,                 1.1286,              0.0005546,              0.0005546,              0.0005546
                     75,                0.97433,                0.71663,                 1.1332,                0.89494,                0.83181,                0.91513,                0.64691,                 1.0562,                0.66394,                 1.1372,              0.0005348,              0.0005348,              0.0005348
                     76,                0.97497,                0.71497,                 1.1336,                0.92108,                0.82266,                0.91628,                0.64919,                  1.054,                0.65252,                 1.1328,               0.000515,               0.000515,               0.000515
                     77,                0.96711,                0.71462,                 1.1244,                0.91687,                0.81792,                0.91586,                  0.649,                 1.0458,                 0.6589,                 1.1217,              0.0004952,              0.0004952,              0.0004952
                     78,                0.96292,                0.70714,                 1.1276,                0.89514,                 0.8336,                0.91976,                0.65175,                 1.0485,                0.65306,                 1.1193,              0.0004754,              0.0004754,              0.0004754
                     79,                0.95198,                0.70345,                 1.1111,                0.89399,                0.84208,                0.91832,                 0.6513,                 1.0421,                0.65288,                  1.119,              0.0004556,              0.0004556,              0.0004556
                     80,                0.95703,                0.69335,                 1.1165,                0.87118,                0.86397,                0.92027,                0.65083,                 1.0491,                0.65131,                 1.1203,              0.0004358,              0.0004358,              0.0004358
                     81,                0.95861,                0.69778,                 1.1199,                0.87617,                0.84508,                0.91416,                0.65175,                 1.0514,                0.64374,                 1.1246,               0.000416,               0.000416,               0.000416
                     82,                0.95224,                0.69361,                 1.1163,                0.88965,                0.84053,                0.91794,                0.65436,                 1.0429,                0.64965,                 1.1199,              0.0003962,              0.0003962,              0.0003962
                     83,                0.95992,                0.69676,                 1.1194,                0.88581,                0.85316,                0.91689,                0.65211,                 1.0389,                0.64999,                 1.1195,              0.0003764,              0.0003764,              0.0003764
                     84,                0.94613,                0.68967,                 1.1104,                0.87101,                 0.8577,                0.91679,                0.65223,                 1.0326,                0.64746,                 1.1133,              0.0003566,              0.0003566,              0.0003566
                     85,                0.95695,                 0.6948,                  1.116,                0.87908,                0.85406,                0.92024,                0.66086,                 1.0275,                 0.6456,                  1.111,              0.0003368,              0.0003368,              0.0003368
                     86,                0.93547,                0.67434,                 1.1084,                0.88447,                0.86005,                0.92198,                 0.6575,                 1.0394,                 0.6398,                 1.1126,               0.000317,               0.000317,               0.000317
                     87,                0.93993,                0.68761,                 1.1177,                0.89406,                0.85095,                0.92013,                0.65542,                 1.0365,                0.64215,                 1.1143,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.9417,                0.68011,                 1.1092,                0.89788,                0.84802,                0.92186,                0.65842,                 1.0387,                 0.6368,                  1.115,              0.0002774,              0.0002774,              0.0002774
                     89,                0.92463,                0.66572,                 1.0996,                0.88839,                0.84739,                 0.9231,                0.66122,                 1.0302,                0.63393,                 1.1094,              0.0002576,              0.0002576,              0.0002576
                     90,                0.93428,                0.66712,                 1.1043,                 0.8877,                0.85095,                 0.9236,                0.65907,                 1.0341,                0.63541,                 1.1104,              0.0002378,              0.0002378,              0.0002378
                     91,                0.91016,                0.58145,                 1.0869,                0.89254,                0.85463,                0.92293,                 0.6556,                 1.0395,                 0.6304,                  1.116,               0.000218,               0.000218,               0.000218
                     92,                0.89613,                0.57594,                 1.0794,                0.90349,                0.83407,                0.91991,                0.65791,                 1.0353,                0.63952,                 1.1072,              0.0001982,              0.0001982,              0.0001982
                     93,                0.89393,                0.56452,                 1.0812,                0.89665,                0.83994,                0.92168,                0.65897,                 1.0287,                0.63479,                 1.1048,              0.0001784,              0.0001784,              0.0001784
                     94,                0.88598,                0.55619,                 1.0773,                0.88176,                0.85316,                0.91962,                0.65821,                 1.0303,                0.63891,                 1.1097,              0.0001586,              0.0001586,              0.0001586
                     95,                0.88607,                0.54782,                  1.073,                0.88799,                0.84984,                0.92268,                0.66121,                 1.0354,                0.63449,                  1.113,              0.0001388,              0.0001388,              0.0001388
                     96,                0.88863,                0.55072,                 1.0788,                0.89784,                0.83889,                0.92057,                0.65928,                 1.0391,                0.63837,                 1.1171,               0.000119,               0.000119,               0.000119
                     97,                0.87887,                0.54992,                 1.0681,                0.88709,                0.85375,                0.91738,                0.66012,                 1.0343,                0.64132,                 1.1128,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.86789,                0.54233,                 1.0653,                0.87668,                 0.8627,                0.91861,                0.65923,                 1.0317,                0.63939,                 1.1101,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.87183,                0.54526,                 1.0673,                0.88485,                0.85756,                 0.9195,                 0.6597,                 1.0349,                0.63984,                 1.1151,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.86556,                0.53234,                 1.0663,                0.88467,                0.86171,                0.92095,                0.65929,                 1.0371,                 0.6331,                  1.117,               3.98e-05,               3.98e-05,               3.98e-05
